name,website,chain_id,seeds,persistent_peers,rpcs,apis,block_height,block_speed,usd_price,usd_market_cap,usd_fully_diluted_valuation,usd_24h_volume,ibc_30d_volume,ibc_30d_transfers,30d_txs,30d_active_addresses
Mars Hub,https://www.marsprotocol.io/,mars-1,5,1,9,9,5506150,5.818963671342711,0.158834,20654528,158688672,139765,2593107,6340,87323,4880
Maya Protocol,https://mayaprotocol.com/,mayachain-mainnet-v1,7,0,1,1,4803458,5.9366391746610825,0.536281,0.0,53628128,537429,0,0,0,0
Medas Digital Network,https://medas-digital.io/,medasdigital-1,1,5,1,1,6508034,132.450834008788,0,0,0,0,0,0,0,0
MEME,,meme-1,2,6,4,4,9740872,5.889707557918724,3.375e-05,0.0,169316,1931.28,0,0,0,0
Microtick,,microtick-1,0,0,0,0,0,0,0.191137,77122,266346,0.972532,0,0,0,0
Migaloo,https://www.whitewhale.money/,migaloo-1,6,1,7,7,5383336,5.689172490968514,0.03947123,15544214,23353556,206916,7767427,49622,215274,7689
Mises,https://mises.site,mainnet,5,0,3,0,10646822,5.467294089947384,0,0,0,0,0,0,0,0
Mun,https://mun.money,mun-1,2,2,3,3,3299014,5.29363661191999,0,0,0,0,0,0,0,0
Mythos,,mythos_7001-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Neutron,https://neutron.org/,neutron-1,5,1,10,9,6873919,2.8547996290235647,1.024,284871154,1021827355,6939424,106560683,637443,457267,25784
Nibiru,https://nibiru.fi/,cataclysm-1,3,2,1,1,2461697,2.929894,0,0,0,0,0,0,0,0
Noble,https://nobleassets.xyz/,noble-1,1,0,2,2,4753675,5.77834981836157,0,0,0,0,340234451,79052,107341,8216
Nois,https://nois.network,nois-1,9,0,17,14,11459054,2.383283096581776,0,0,0,0,344311,221125,957417,9710
Nolus,https://nolus.io/,pirin-1,5,1,12,12,3866418,5.784015019590489,0.064254,11612959,56433964,797276,11227000,14069,794560,3331
Nomic,https://nomic.io/,nomic-stakenet-3,5,1,5,2,12792513,4.166696436259714,0,0,0,0,0,0,0,0
Nym,https://nymtech.net/,nyx,2,14,4,3,11047785,154.5302907324862,0,0,0,0,2817895,698,16844,3770
Octa,,octa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odin Protocol,https://odinprotocol.io/,odin-mainnet-freya,3,5,3,3,12744104,5.377820175292432,0.150256,4154914,17895453,6727.94,0,0,0,0
OKExChain,,exchain-66,3,0,1,0,25512438,4.161546370507046,15.89,283838505,283834998,480748,0,0,0,0
OmniFlix,https://omniflix.network/,omniflixhub-1,6,3,14,13,10633136,5.794393480932305,0.269558,0.0,100105435,72234,2649070,31697,332048,20218
Onomy,https://onomy.io/,onomy-mainnet-1,2,2,1,1,6318260,5.891716646304477,0.232725,20178168,36518241,299860,94076,639,14202,2282
Oraichain,https://orai.io/,Oraichain,8,7,5,4,15645364,5.9517722918924925,6.61,102683571,114862152,1431847,7092553,13790,279402,10617
Osmosis,https://osmosis.zone/,osmosis-1,11,9,25,22,13653468,5.036196058615462,1.55,984788430,1554766350,24792930,1224966559,2033623,7501158,291303
Medibloc,https://medibloc.com/en/,panacea-3,1,4,2,2,14635954,5.867864209771565,0.01035991,85612226,99027800,812208,212603,567,113249,1259
Passage,https://passage3d.com/,passage-2,10,5,16,16,6852045,5.87919765069886,0.074195,46715547,91605022,81336,2130489,4377,80041,2976
Passage,https://passage3d.com/,passage-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persistence,https://persistence.one/,core-1,6,5,17,17,15254812,5.983528571456759,0.336485,65368340,66407553,427789,9013881,19220,128308,8914
Planq,https://planq.network/,planq_7070-2,4,8,9,8,7353870,5.4235947672819975,0.074811,5970226,9443968,98592,275881,4427,77091,2679
Point Network,,point_10687-1,2,2,3,3,28110562,1.609522805325728,0,0,0,0,0,0,0,0
Provenance,https://provenance.io/,pio-mainnet-1,4,1,7,7,14933638,5.881863341805815,0,0,0,0,79970,494,673295,509
Pundi X Chain,https://pundix.com,PUNDIX,3,5,1,1,13400732,5.454815188813208,0,0,0,0,0,0,0,0
Pylons,https://pylons.tech,pylons-mainnet-1,3,0,1,1,5865452,6.091060888492558,0,0,0,0,0,0,0,0
Quasar,https://www.quasar.fi/,quasar-1,7,3,13,13,4825591,5.792040556242738,0.135217,75601644,85149413,76587,4148560,11829,177546,3565
Quicksilver,https://quicksilver.zone/,quicksilver-2,11,10,22,20,5846969,5.79880871997685,0.090847,0.0,18169301,13144.09,292530,6008,518652,5739
Qwoyn,https://qwoyn.studio/,qwoyn-1,4,4,7,6,3572256,5.6904906739501735,0,0,0,0,0,890,4788,261
Realio Network,https://realio.network/,realionetwork_3301-1,3,6,9,9,5078855,5.293856,0.605747,0.0,33326105,2221219,262436,453,7090,700
Rebus,https://www.rebuschain.com/,reb_1111-1,4,3,13,12,14230018,3.065004619569285,0.0032297,0.0,1187277,40060,0,0,0,0
Regen,https://www.regen.network/,regen-1,3,2,10,9,14573711,5.8746681711320665,0.059919,8889307,8889307,3791.15,587046,4231,73840,3504
Rizon,https://rizon.world/,titan-1,6,1,4,4,12217057,6.433696811558431,0.00027932,648285,787965,23173,0,0,314,134
Secret Network,https://scrt.network/,secret-4,7,1,5,5,12778563,5.910575781525313,0.362639,98441544,104409513,1434100,76704767,125976,472774,34110
